question,answer
Is a Poppy Cocktail sweet or bitter?,A Poppy Cocktail tastes spirit forward.
Whats the flavour of a Poppy Cocktail?,A Poppy Cocktail tastes spirit forward.
What does Poppy Cocktail taste like?,A Poppy Cocktail tastes spirit forward.
Is a Port Wine Flip sweet or bitter?,A Port Wine Flip tastes sweet.
How would you describe a Port Wine Flip?,A Port Wine Flip tastes sweet.
Describe the taste of a Port Wine Flip.,A Port Wine Flip tastes sweet.
Whats the flavour of a Planter's Punch?,A Planter's Punch tastes sweet.
What does Planter's Punch taste like?,A Planter's Punch tastes sweet.
Describe the taste of a Planter's Punch.,A Planter's Punch tastes sweet.
Describe the taste of a Pineapple Paloma.,"A Pineapple Paloma tastes sweet, citrusy."
Whats the flavour of a Pineapple Paloma?,"A Pineapple Paloma tastes sweet, citrusy."
Is a Pineapple Paloma sweet or bitter?,"A Pineapple Paloma tastes sweet, citrusy."
Whats the flavour of a Pornstar Martini?,A Pornstar Martini tastes citrusy.
Describe the taste of a Pornstar Martini.,A Pornstar Martini tastes citrusy.
What does Pornstar Martini taste like?,A Pornstar Martini tastes citrusy.
Whats the flavour of a Port And Starboard?,A Port And Starboard tastes sweet.
Describe the taste of a Port And Starboard.,A Port And Starboard tastes sweet.
How would you describe a Port And Starboard?,A Port And Starboard tastes sweet.
What does Port Wine Cocktail taste like?,A Port Wine Cocktail tastes spirit forward.
How would you describe a Port Wine Cocktail?,A Port Wine Cocktail tastes spirit forward.
Describe the taste of a Port Wine Cocktail.,A Port Wine Cocktail tastes spirit forward.
How would you describe a Pysch Vitamin Light?,A Pysch Vitamin Light tastes sweet.
Is a Pysch Vitamin Light sweet or bitter?,A Pysch Vitamin Light tastes sweet.
Describe the taste of a Pysch Vitamin Light.,A Pysch Vitamin Light tastes sweet.
Describe the taste of a Pink Panty Pulldowns.,A Pink Panty Pulldowns tastes citrusy.
How would you describe a Pink Panty Pulldowns?,A Pink Panty Pulldowns tastes citrusy.
What does Pink Panty Pulldowns taste like?,A Pink Panty Pulldowns tastes citrusy.
What does Passion Fruit Martini taste like?,A Passion Fruit Martini tastes sweet.
Describe the taste of a Passion Fruit Martini.,A Passion Fruit Martini tastes sweet.
Is a Passion Fruit Martini sweet or bitter?,A Passion Fruit Martini tastes sweet.
Whats the flavour of a Pineapple Gingerale Smoothie?,"A Pineapple Gingerale Smoothie tastes sweet, refreshing."
What does Pineapple Gingerale Smoothie taste like?,"A Pineapple Gingerale Smoothie tastes sweet, refreshing."
Is a Pineapple Gingerale Smoothie sweet or bitter?,"A Pineapple Gingerale Smoothie tastes sweet, refreshing."
How would you describe a Quentin?,A Quentin tastes sweet.
Is a Quentin sweet or bitter?,A Quentin tastes sweet.
Whats the flavour of a Quentin?,A Quentin tastes sweet.
How would you describe a Queen Bee?,A Queen Bee tastes citrusy.
Describe the taste of a Queen Bee.,A Queen Bee tastes citrusy.
What does Queen Bee taste like?,A Queen Bee tastes citrusy.
Is a Quick F**K sweet or bitter?,A Quick F**K tastes sweet.
How would you describe a Quick F**K?,A Quick F**K tastes sweet.
What does Quick F**K taste like?,A Quick F**K tastes sweet.
How would you describe a Quick-sand?,A Quick-sand tastes spirit forward.
Describe the taste of a Quick-sand.,A Quick-sand tastes spirit forward.
What does Quick-sand taste like?,A Quick-sand tastes spirit forward.
What does Queen Charlotte taste like?,"A Queen Charlotte tastes sweet, citrusy, refreshing."
Whats the flavour of a Queen Charlotte?,"A Queen Charlotte tastes sweet, citrusy, refreshing."
Describe the taste of a Queen Charlotte.,"A Queen Charlotte tastes sweet, citrusy, refreshing."
Describe the taste of a Queen Elizabeth.,A Queen Elizabeth tastes slightly bitter.
Is a Queen Elizabeth sweet or bitter?,A Queen Elizabeth tastes slightly bitter.
What does Queen Elizabeth taste like?,A Queen Elizabeth tastes slightly bitter.
What does Quaker's Cocktail taste like?,"A Quaker's Cocktail tastes sweet, citrusy."
Whats the flavour of a Quaker's Cocktail?,"A Quaker's Cocktail tastes sweet, citrusy."
Describe the taste of a Quaker's Cocktail.,"A Quaker's Cocktail tastes sweet, citrusy."
What does Quarter Deck Cocktail taste like?,A Quarter Deck Cocktail tastes citrusy.
Whats the flavour of a Quarter Deck Cocktail?,A Quarter Deck Cocktail tastes citrusy.
How would you describe a Quarter Deck Cocktail?,A Quarter Deck Cocktail tastes citrusy.
How would you describe a Rose?,"A Rose tastes sweet, citrusy, slightly bitter."
Describe the taste of a Rose.,"A Rose tastes sweet, citrusy, slightly bitter."
Is a Rose sweet or bitter?,"A Rose tastes sweet, citrusy, slightly bitter."
Describe the taste of a Radler.,A Radler tastes spirit forward.
Whats the flavour of a Radler?,A Radler tastes spirit forward.
Is a Radler sweet or bitter?,A Radler tastes spirit forward.
Describe the taste of a Rum Sour.,"A Rum Sour tastes sweet, citrusy."
Whats the flavour of a Rum Sour?,"A Rum Sour tastes sweet, citrusy."
What does Rum Sour taste like?,"A Rum Sour tastes sweet, citrusy."
How would you describe a Rum Punch?,A Rum Punch tastes refreshing.
Describe the taste of a Rum Punch.,A Rum Punch tastes refreshing.
What does Rum Punch taste like?,A Rum Punch tastes refreshing.
Whats the flavour of a Rum Toddy?,"A Rum Toddy tastes sweet, citrusy."
Describe the taste of a Rum Toddy.,"A Rum Toddy tastes sweet, citrusy."
How would you describe a Rum Toddy?,"A Rum Toddy tastes sweet, citrusy."
Is a Royal Fizz sweet or bitter?,A Royal Fizz tastes spirit forward.
What does Royal Fizz taste like?,A Royal Fizz tastes spirit forward.
Whats the flavour of a Royal Fizz?,A Royal Fizz tastes spirit forward.
Describe the taste of a Rum Cooler.,"A Rum Cooler tastes citrusy, refreshing."
How would you describe a Rum Cooler?,"A Rum Cooler tastes citrusy, refreshing."
What does Rum Cooler taste like?,"A Rum Cooler tastes citrusy, refreshing."
How would you describe a Rum Runner?,A Rum Runner tastes sweet.
What does Rum Runner taste like?,A Rum Runner tastes sweet.
Is a Rum Runner sweet or bitter?,A Rum Runner tastes sweet.
Is a Rusty Nail sweet or bitter?,A Rusty Nail tastes citrusy.
What does Rusty Nail taste like?,A Rusty Nail tastes citrusy.
Describe the taste of a Rusty Nail.,A Rusty Nail tastes citrusy.
How would you describe a Red Snapper?,A Red Snapper tastes spirit forward.
Whats the flavour of a Red Snapper?,A Red Snapper tastes spirit forward.
Is a Red Snapper sweet or bitter?,A Red Snapper tastes spirit forward.
Is a Royal Bitch sweet or bitter?,A Royal Bitch tastes spirit forward.
Whats the flavour of a Royal Bitch?,A Royal Bitch tastes spirit forward.
Describe the taste of a Royal Bitch.,A Royal Bitch tastes spirit forward.
How would you describe a Royal Flush?,A Royal Flush tastes sweet.
Describe the taste of a Royal Flush.,A Royal Flush tastes sweet.
Whats the flavour of a Royal Flush?,A Royal Flush tastes sweet.
Whats the flavour of a Rum Cobbler?,"A Rum Cobbler tastes sweet, citrusy, refreshing."
Is a Rum Cobbler sweet or bitter?,"A Rum Cobbler tastes sweet, citrusy, refreshing."
Describe the taste of a Rum Cobbler.,"A Rum Cobbler tastes sweet, citrusy, refreshing."
How would you describe a Ruby Tuesday?,A Ruby Tuesday tastes sweet.
Whats the flavour of a Ruby Tuesday?,A Ruby Tuesday tastes sweet.
What does Ruby Tuesday taste like?,A Ruby Tuesday tastes sweet.
What does Rail Splitter taste like?,"A Rail Splitter tastes sweet, citrusy, refreshing."
How would you describe a Rail Splitter?,"A Rail Splitter tastes sweet, citrusy, refreshing."
Is a Rail Splitter sweet or bitter?,"A Rail Splitter tastes sweet, citrusy, refreshing."
Whats the flavour of a Rosemary Blue?,A Rosemary Blue tastes refreshing.
How would you describe a Rosemary Blue?,A Rosemary Blue tastes refreshing.
What does Rosemary Blue taste like?,A Rosemary Blue tastes refreshing.
Whats the flavour of a Ramos Gin Fizz?,"A Ramos Gin Fizz tastes sweet, citrusy, refreshing."
How would you describe a Ramos Gin Fizz?,"A Ramos Gin Fizz tastes sweet, citrusy, refreshing."
What does Ramos Gin Fizz taste like?,"A Ramos Gin Fizz tastes sweet, citrusy, refreshing."
Whats the flavour of a Royal Gin Fizz?,"A Royal Gin Fizz tastes sweet, citrusy."
How would you describe a Royal Gin Fizz?,"A Royal Gin Fizz tastes sweet, citrusy."
What does Royal Gin Fizz taste like?,"A Royal Gin Fizz tastes sweet, citrusy."
What does Rum Milk Punch taste like?,A Rum Milk Punch tastes sweet.
Describe the taste of a Rum Milk Punch.,A Rum Milk Punch tastes sweet.
Whats the flavour of a Rum Milk Punch?,A Rum Milk Punch tastes sweet.
Whats the flavour of a Raspberry Julep?,"A Raspberry Julep tastes sweet, refreshing."
Is a Raspberry Julep sweet or bitter?,"A Raspberry Julep tastes sweet, refreshing."
What does Raspberry Julep taste like?,"A Raspberry Julep tastes sweet, refreshing."
Whats the flavour of a Rum Screwdriver?,A Rum Screwdriver tastes spirit forward.
What does Rum Screwdriver taste like?,A Rum Screwdriver tastes spirit forward.
How would you describe a Rum Screwdriver?,A Rum Screwdriver tastes spirit forward.
Describe the taste of a Raspberry Cooler.,"A Raspberry Cooler tastes citrusy, refreshing."
What does Raspberry Cooler taste like?,"A Raspberry Cooler tastes citrusy, refreshing."
Is a Raspberry Cooler sweet or bitter?,"A Raspberry Cooler tastes citrusy, refreshing."
Is a Rum Old-fashioned sweet or bitter?,"A Rum Old-fashioned tastes sweet, citrusy, slightly bitter."
What does Rum Old-fashioned taste like?,"A Rum Old-fashioned tastes sweet, citrusy, slightly bitter."
Whats the flavour of a Rum Old-fashioned?,"A Rum Old-fashioned tastes sweet, citrusy, slightly bitter."
How would you describe a Russian Spring Punch?,"A Russian Spring Punch tastes sweet, citrusy."
Whats the flavour of a Russian Spring Punch?,"A Russian Spring Punch tastes sweet, citrusy."
Is a Russian Spring Punch sweet or bitter?,"A Russian Spring Punch tastes sweet, citrusy."
Describe the taste of a Radioactive Long Island Iced Tea.,A Radioactive Long Island Iced Tea tastes sweet.
What does Radioactive Long Island Iced Tea taste like?,A Radioactive Long Island Iced Tea tastes sweet.
Whats the flavour of a Radioactive Long Island Iced Tea?,A Radioactive Long Island Iced Tea tastes sweet.
How would you describe a Smut?,A Smut tastes spirit forward.
What does Smut taste like?,A Smut tastes spirit forward.
Whats the flavour of a Smut?,A Smut tastes spirit forward.
Describe the taste of a Spritz.,"A Spritz tastes refreshing, slightly bitter."
Whats the flavour of a Spritz?,"A Spritz tastes refreshing, slightly bitter."
How would you describe a Spritz?,"A Spritz tastes refreshing, slightly bitter."
Describe the taste of a Scooter.,A Scooter tastes sweet.
How would you describe a Scooter?,A Scooter tastes sweet.
What does Scooter taste like?,A Scooter tastes sweet.
Is a Sangria sweet or bitter?,"A Sangria tastes sweet, citrusy."
How would you describe a Sangria?,"A Sangria tastes sweet, citrusy."
What does Sangria taste like?,"A Sangria tastes sweet, citrusy."
Is a Stinger sweet or bitter?,A Stinger tastes spirit forward.
How would you describe a Stinger?,A Stinger tastes spirit forward.
Describe the taste of a Stinger.,A Stinger tastes spirit forward.
Describe the taste of a Sazerac.,"A Sazerac tastes sweet, citrusy, slightly bitter."
Is a Sazerac sweet or bitter?,"A Sazerac tastes sweet, citrusy, slightly bitter."
Whats the flavour of a Sazerac?,"A Sazerac tastes sweet, citrusy, slightly bitter."
Whats the flavour of a Sidecar?,A Sidecar tastes citrusy.
Describe the taste of a Sidecar.,A Sidecar tastes citrusy.
Is a Sidecar sweet or bitter?,A Sidecar tastes citrusy.
Is a Snowday sweet or bitter?,A Snowday tastes slightly bitter.
Describe the taste of a Snowday.,A Snowday tastes slightly bitter.
Whats the flavour of a Snowday?,A Snowday tastes slightly bitter.
Is a Spice 75 sweet or bitter?,"A Spice 75 tastes sweet, citrusy."
What does Spice 75 taste like?,"A Spice 75 tastes sweet, citrusy."
Whats the flavour of a Spice 75?,"A Spice 75 tastes sweet, citrusy."
Describe the taste of a Snowball.,A Snowball tastes citrusy.
Whats the flavour of a Snowball?,A Snowball tastes citrusy.
What does Snowball taste like?,A Snowball tastes citrusy.
Is a Shot-gun sweet or bitter?,A Shot-gun tastes spirit forward.
How would you describe a Shot-gun?,A Shot-gun tastes spirit forward.
Describe the taste of a Shot-gun.,A Shot-gun tastes spirit forward.
Describe the taste of a Salty Dog.,A Salty Dog tastes spirit forward.
Is a Salty Dog sweet or bitter?,A Salty Dog tastes spirit forward.
What does Salty Dog taste like?,A Salty Dog tastes spirit forward.
How would you describe a Stone Sour?,A Stone Sour tastes spirit forward.
What does Stone Sour taste like?,A Stone Sour tastes spirit forward.
Is a Stone Sour sweet or bitter?,A Stone Sour tastes spirit forward.
Is a Sea breeze sweet or bitter?,A Sea breeze tastes spirit forward.
Whats the flavour of a Sea breeze?,A Sea breeze tastes spirit forward.
How would you describe a Sea breeze?,A Sea breeze tastes spirit forward.
How would you describe a Scotch Sour?,"A Scotch Sour tastes sweet, citrusy."
What does Scotch Sour taste like?,"A Scotch Sour tastes sweet, citrusy."
Describe the taste of a Scotch Sour.,"A Scotch Sour tastes sweet, citrusy."
How would you describe a Sweet Tooth?,A Sweet Tooth tastes sweet.
Whats the flavour of a Sweet Tooth?,A Sweet Tooth tastes sweet.
Is a Sweet Tooth sweet or bitter?,A Sweet Tooth tastes sweet.
Is a Screwdriver sweet or bitter?,A Screwdriver tastes spirit forward.
How would you describe a Screwdriver?,A Screwdriver tastes spirit forward.
Describe the taste of a Screwdriver.,A Screwdriver tastes spirit forward.
Is a Sherry Flip sweet or bitter?,A Sherry Flip tastes sweet.
Describe the taste of a Sherry Flip.,A Sherry Flip tastes sweet.
Whats the flavour of a Sherry Flip?,A Sherry Flip tastes sweet.
Is a Sol Y Sombra sweet or bitter?,A Sol Y Sombra tastes spirit forward.
What does Sol Y Sombra taste like?,A Sol Y Sombra tastes spirit forward.
Describe the taste of a Sol Y Sombra.,A Sol Y Sombra tastes spirit forward.
Describe the taste of a Shark Attack.,A Shark Attack tastes citrusy.
How would you describe a Shark Attack?,A Shark Attack tastes citrusy.
Is a Shark Attack sweet or bitter?,A Shark Attack tastes citrusy.
What does San Francisco taste like?,A San Francisco tastes sweet.
Is a San Francisco sweet or bitter?,A San Francisco tastes sweet.
Whats the flavour of a San Francisco?,A San Francisco tastes sweet.
Is a Space Odyssey sweet or bitter?,A Space Odyssey tastes sweet.
How would you describe a Space Odyssey?,A Space Odyssey tastes sweet.
Whats the flavour of a Space Odyssey?,A Space Odyssey tastes sweet.
How would you describe a Sherry Eggnog?,A Sherry Eggnog tastes sweet.
Is a Sherry Eggnog sweet or bitter?,A Sherry Eggnog tastes sweet.
Whats the flavour of a Sherry Eggnog?,A Sherry Eggnog tastes sweet.
What does Sweet Bananas taste like?,A Sweet Bananas tastes spirit forward.
How would you describe a Sweet Bananas?,A Sweet Bananas tastes spirit forward.
Whats the flavour of a Sweet Bananas?,A Sweet Bananas tastes spirit forward.
Describe the taste of a Sweet Sangria.,"A Sweet Sangria tastes sweet, citrusy."
Is a Sweet Sangria sweet or bitter?,"A Sweet Sangria tastes sweet, citrusy."
Whats the flavour of a Sweet Sangria?,"A Sweet Sangria tastes sweet, citrusy."
